city,station,CO,NH3,NO2,O3,PM10,PM25,SO2
Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",25.0,,102.0,58.0,107.0,19.0,
Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",92.0,19.0,,37.0,,190.0,11.0
Dharwad,"Kalabhavan, Dharwad - KSPCB",48.0,5.0,23.0,37.0,91.0,68.0,
Dholpur,"Raja Ganj, Dholpur - RSPCB",26.0,8.0,26.0,54.0,115.0,135.0,9.0
Dhule,"Deopur, Dhule - MPCB",6.0,2.0,8.0,41.0,89.0,33.0,
Dombivli,"Kalu Nagar, Dombivli - MPCB",11.0,1.0,10.0,7.0,19.0,10.0,7.0
Dungarpur,"Bhoiwada, Dungarpur - RSPCB",16.0,8.0,7.0,64.0,86.0,33.0,10.0
Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",82.0,1.0,7.0,50.0,28.0,26.0,24.0
Durgapur,"PCBL Residential Complex, Durgapur - WBPCB",20.0,5.0,40.0,1.0,34.0,28.0,9.0
Durgapur,"Womens College_City Center, Durgapur - WBPCB",32.0,5.0,26.0,28.0,39.0,25.0,12.0
Eluru,"District Court, Eluru - APPCB",31.0,3.0,26.0,32.0,55.0,56.0,12.0
Faridabad,"New Industrial Town, Faridabad - HSPCB",,11.0,,23.0,68.0,,
Faridabad,"Sector 11, Faridabad - HSPCB",,10.0,31.0,15.0,218.0,,8.0
Faridabad,"Sector 30, Faridabad - HSPCB",62.0,11.0,37.0,10.0,,,
Fatehabad,"Huda Sector, Fatehabad - HSPCB",37.0,14.0,19.0,18.0,110.0,66.0,22.0
Firozabad,"Nagla Bhau, Firozabad - UPPCB",29.0,2.0,17.0,12.0,73.0,50.0,28.0
Firozabad,"Vibhab Nagar, Firozabad - UPPCB",32.0,2.0,15.0,1.0,101.0,78.0,7.0
Gadag,"Panchal Nagar, Gadag - KSPCB",17.0,3.0,1.0,27.0,25.0,4.0,25.0
Gandhinagar,"GIFT City, Gandhinagar - IITM",49.0,5.0,21.0,40.0,111.0,29.0,3.0
Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",20.0,1.0,8.0,15.0,91.0,38.0,6.0
Gandhinagar,"Sector-10, Gandhinagar - GPCB",25.0,1.0,22.0,30.0,92.0,60.0,19.0
Gangtok,"Zero Point GICI, Gangtok - SSPCB",12.0,1.0,8.0,26.0,,31.0,1.0
Gaya,"Collectorate, Gaya - BSPCB",,,9.0,29.0,,70.0,
Gaya,"Kareemganj, Gaya - BSPCB",29.0,1.0,12.0,120.0,119.0,78.0,44.0
Gaya,"SFTI Kusdihra, Gaya - BSPCB",28.0,4.0,21.0,51.0,57.0,45.0,7.0
Ghaziabad,"Govindpuram, Ghaziabad - UPPCB",41.0,6.0,38.0,178.0,124.0,76.0,32.0
Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",62.0,7.0,91.0,21.0,224.0,,16.0
Ghaziabad,"Loni, Ghaziabad - UPPCB",78.0,5.0,,68.0,,185.0,25.0
Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB",63.0,,66.0,74.0,187.0,142.0,
Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",23.0,7.0,85.0,97.0,211.0,149.0,24.0
Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",6.0,1.0,,,77.0,,40.0
Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",,,,63.0,,,
Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",52.0,10.0,75.0,31.0,306.0,,25.0
Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",,1.0,,,,102.0,
Guntur,"Rajendra Nagar North, Guntur - APPCB",41.0,8.0,42.0,44.0,50.0,58.0,14.0
Gurugram,"NISE Gwal Pahari, Gurugram - IITM",42.0,,27.0,72.0,,152.0,
Gurugram,"Sector-51, Gurugram - HSPCB",33.0,8.0,6.0,36.0,260.0,252.0,10.0
Gurugram,"Vikas Sadan, Gurugram - HSPCB",94.0,,,21.0,97.0,,5.0
Guwahati,"IITG, Guwahati - PCBA",8.0,5.0,1.0,5.0,67.0,60.0,32.0
Guwahati,"LGBI Airport, Guwahati - PCBA",29.0,4.0,15.0,37.0,41.0,52.0,11.0
Guwahati,"Pan Bazaar, Guwahati - PCBA",37.0,1.0,,18.0,234.0,,23.0
Guwahati,"Railway Colony, Guwahati - PCBA",,1.0,,2.0,60.0,74.0,35.0
Gwalior,"City Center, Gwalior - MPPCB",58.0,2.0,43.0,129.0,,,58.0
Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",31.0,5.0,32.0,,176.0,100.0,26.0
Gwalior,"Maharaj Bada, Gwalior - MPPCB",151.0,6.0,59.0,129.0,138.0,65.0,24.0
Hajipur,"Industrial Area, Hajipur - BSPCB",21.0,18.0,12.0,95.0,91.0,66.0,6.0
Haldia,"Priyambada Housing Estate, Haldia - WBPCB",26.0,5.0,11.0,66.0,57.0,40.0,10.0
Hanumangarh,"Housing Board, Hanumangarh - RSPCB",28.0,5.0,16.0,69.0,144.0,68.0,7.0
Hapur,"Anand Vihar, Hapur - UPPCB",61.0,15.0,85.0,40.0,188.0,175.0,56.0
Hingoli,"Ashta Vinayak Nagar, Hingoli - MPCB",21.0,2.0,14.0,96.0,47.0,17.0,
Hisar,"Urban Estate-II, Hisar - HSPCB",59.0,,,108.0,,,
